variavel;site_id;estrato;no_treino;rotulo;n_sinalizadas;n_segmentos;estado_arcabouco;extrapolacao;incerto
direitos_titular_explicados;mapacultural.pe.gov.br;gov;0;1;8;203;true;False;nao
direitos_titular_explicados;maracanau.ce.gov.br;gov;0;1;5;418;true;False;nao
direitos_titular_explicados;meioambiente.mg.gov.br;gov;0;1;4;160;true;False;nao
direitos_titular_explicados;palmas.to.gov.br;gov;0;0;1;192;true;False;nao
direitos_titular_explicados;parana.pr.gov.br;gov;0;0;0;193;false;False;nao
direitos_titular_explicados;planalto.gov.br;gov;0;1;7;459;true;False;nao
direitos_titular_explicados;pma.es.gov.br;gov;0;0;1;83;true;False;nao
direitos_titular_explicados;pmpr.pr.gov.br;gov;0;0;0;580;false;False;nao
direitos_titular_explicados;portaldoservidor.mg.gov.br;gov;0;1;4;227;true;False;nao
direitos_titular_explicados;tcu.gov.br;gov;0;1;16;419;true;False;nao
transf_internacional_divulgada;aa.org.br;corp;0;0;1;195;true;False;nao
transf_internacional_divulgada;acontecendoaqui.com.br;corp;1;0;0;53;false;False;nao
transf_internacional_divulgada;agoradiario.com.br;corp;0;0;0;58;false;False;nao
transf_internacional_divulgada;aime.com.br;corp;0;1;4;240;true;False;nao
transf_internacional_divulgada;anhangueraferramentas.com.br;corp;0;0;0;242;false;False;nao
transf_internacional_divulgada;anpad.org.br;corp;0;0;1;35;true;False;nao
transf_internacional_divulgada;apisul.com.br;corp;0;0;5;297;true;False;nao
transf_internacional_divulgada;aquiacontece.com.br;corp;0;1;3;301;true;False;nao
transf_internacional_divulgada;armazemdc.com.br;corp;0;0;0;86;false;False;nao
transf_internacional_divulgada;arquidiocesebh.org.br;corp;0;0;4;255;true;False;nao
transf_internacional_divulgada;assessoriavip.com.br;corp;0;0;0;93;false;False;nao
transf_internacional_divulgada;assist.org.br;corp;0;0;0;64;false;False;nao
transf_internacional_divulgada;atakarejo.com.br;corp;1;0;5;358;true;False;nao
transf_internacional_divulgada;atribuna.com.br;corp;0;1;2;411;true;False;nao
transf_internacional_divulgada;attackshark.net.br;corp;0;0;4;390;true;False;nao
transf_internacional_divulgada;azzaparfums.com.br;corp;0;1;3;173;true;False;nao
transf_internacional_divulgada;belenus.com.br;corp;0;0;1;118;true;False;nao
transf_internacional_divulgada;bigcupom.com.br;corp;0;0;2;101;true;False;nao
transf_internacional_divulgada;bimper.com.br;corp;0;0;0;71;false;False;nao
transf_internacional_divulgada;blips.com.br;corp;0;0;3;165;true;False;nao
transf_internacional_divulgada;bradesco.com.br;corp;0;0;0;73;false;False;sim
transf_internacional_divulgada;celos.com.br;corp;0;1;1;140;true;False;nao
transf_internacional_divulgada;cenprotnacional.org.br;corp;1;1;2;111;true;False;nao
transf_internacional_divulgada;cgdw.com.br;corp;0;1;3;83;true;False;nao
transf_internacional_divulgada;coelhinhadobrasil.com.br;corp;0;0;0;24;false;False;nao
transf_internacional_divulgada;comper.com.br;corp;0;1;5;250;true;False;nao
transf_internacional_divulgada;condominiodedicado.com.br;corp;0;0;1;78;true;False;nao
transf_internacional_divulgada;confiance.com.br;corp;0;0;1;88;true;False;sim
transf_internacional_divulgada;correspondentedinamico.com.br;corp;0;0;0;78;false;False;nao
transf_internacional_divulgada;costaricacolchoes.com.br;corp;0;0;0;361;false;False;nao
transf_internacional_divulgada;cplug.com.br;corp;1;1;6;440;true;False;nao
transf_internacional_divulgada;cupomverde.com.br;corp;0;1;1;236;true;False;nao
transf_internacional_divulgada;curriculointerativo.com.br;corp;0;0;1;302;true;False;sim
transf_internacional_divulgada;cursosheliocouto.com.br;corp;0;0;5;188;true;False;nao
transf_internacional_divulgada;datacaixa.com.br;corp;0;0;1;126;true;False;nao
transf_internacional_divulgada;delupo.com.br;corp;0;0;0;146;false;False;nao
transf_internacional_divulgada;desenhosecolorir.com.br;corp;0;0;1;87;true;False;nao
transf_internacional_divulgada;diplan.com.br;corp;0;1;3;128;true;False;nao
transf_internacional_divulgada;divinosilva.com.br;corp;0;0;0;137;false;False;nao
transf_internacional_divulgada;dreamcasa.com.br;corp;0;0;1;105;true;False;nao
transf_internacional_divulgada;econodata.com.br;corp;0;0;1;125;true;False;nao
transf_internacional_divulgada;encurtador.com.br;corp;0;0;0;94;false;False;nao
transf_internacional_divulgada;evas.com.br;corp;0;0;0;18;false;False;nao
transf_internacional_divulgada;faap.br;corp;0;1;2;161;true;False;nao
transf_internacional_divulgada;feltrimcorrea.com.br;corp;0;0;1;130;true;False;nao
transf_internacional_divulgada;fieltorcedor.com.br;corp;0;1;6;594;true;False;nao
transf_internacional_divulgada;flashapp.com.br;corp;0;1;0;198;false;False;nao
transf_internacional_divulgada;flashnetbrasil.com.br;corp;0;1;4;136;true;False;nao
transf_internacional_divulgada;futebolpaulista.com.br;corp;0;1;2;107;true;False;nao
transf_internacional_divulgada;glam.com.br;corp;0;1;10;1004;true;False;nao
transf_internacional_divulgada;gobrax.com.br;corp;0;1;2;89;true;False;nao
transf_internacional_divulgada;gocache.com.br;corp;0;1;1;231;true;False;nao
transf_internacional_divulgada;goodyear.com.br;corp;0;1;16;503;true;False;nao
transf_internacional_divulgada;goomer.com.br;corp;0;0;0;231;false;False;nao
transf_internacional_divulgada;hachi8.com.br;corp;0;0;0;116;false;False;nao
transf_internacional_divulgada;hcpneus.com.br;corp;0;0;0;60;false;False;nao
transf_internacional_divulgada;iclin.med.br;corp;1;0;0;42;false;False;nao
transf_internacional_divulgada;ideau.com.br;corp;0;0;0;58;false;False;nao
transf_internacional_divulgada;info-bras.net.br;corp;0;0;2;60;true;False;nao
transf_internacional_divulgada;iob.com.br;corp;0;0;1;179;true;False;sim
transf_internacional_divulgada;irmaosdotados.com.br;corp;0;0;1;52;true;False;sim
transf_internacional_divulgada;jornaldacidadeonline.com.br;corp;0;0;0;38;false;False;nao
transf_internacional_divulgada;kiaga.com.br;corp;0;0;9;268;true;False;nao
transf_internacional_divulgada;labmm.com.br;corp;0;0;1;70;true;False;sim
transf_internacional_divulgada;legisweb.com.br;corp;0;0;0;118;false;False;nao
transf_internacional_divulgada;losango.com.br;corp;1;0;0;114;false;False;sim
transf_internacional_divulgada;mailinbox.com.br;corp;0;0;4;41;true;False;nao
transf_internacional_divulgada;maisvagases.com.br;corp;0;0;0;112;false;False;nao
transf_internacional_divulgada;mapeia.com.br;corp;0;0;0;59;false;False;nao
transf_internacional_divulgada;mestresmisticos.com.br;corp;0;0;1;157;true;False;nao
transf_internacional_divulgada;meumoveldemadeira.com.br;corp;0;1;3;284;true;False;nao
transf_internacional_divulgada;moto.com.br;corp;0;1;4;218;true;False;nao
transf_internacional_divulgada;mppr.mp.br;corp;0;0;2;209;true;False;nao
transf_internacional_divulgada;neggos.com.br;corp;0;0;0;21;false;False;nao
