ordem,estrato,rank_tranco,dominio,url,aprovado
223,empresarial,480778,sostelecomsistema.com.br,https://sostelecomsistema.com.br,true
224,empresarial,478747,dcmais.com.br,https://dcmais.com.br,true
225,empresarial,723641,masternetrs.com.br,https://masternetrs.com.br,true
226,empresarial,731628,esportelandia.com.br,https://esportelandia.com.br,true
227,empresarial,282314,kickante.com.br,https://kickante.com.br,true
228,empresarial,777503,farmagerty.com.br,https://farmagerty.com.br,true
229,empresarial,976962,zuq.com.br,https://zuq.com.br,true
230,empresarial,960128,hdmix.com.br,https://hdmix.com.br,true
231,empresarial,475659,t4stecnologia.com.br,https://t4stecnologia.com.br,true
232,empresarial,544670,phbsolar.com.br,https://phbsolar.com.br,true
233,empresarial,603126,lojadexco.com.br,https://lojadexco.com.br,true
234,empresarial,823548,seiziguitars.com.br,https://seiziguitars.com.br,true
235,empresarial,403310,safeweb.com.br,https://safeweb.com.br,true
236,empresarial,867670,pinhalnet.net.br,https://pinhalnet.net.br,true
237,empresarial,717410,wca-telecom.com.br,https://wca-telecom.com.br,true
238,empresarial,888432,webs.com.br,https://webs.com.br,true
239,empresarial,56134,carrefoursolucoes.com.br,https://carrefoursolucoes.com.br,true
240,empresarial,311537,ibyte.com.br,https://ibyte.com.br,true
241,empresarial,602092,e-agro.com.br,https://e-agro.com.br,true
242,empresarial,533685,asa.com.br,https://asa.com.br,true
243,empresarial,221362,institutoayrtonsenna.org.br,https://institutoayrtonsenna.org.br,true
244,empresarial,475772,criacaodesign.com.br,https://criacaodesign.com.br,true
245,empresarial,121424,arvore.com.br,https://arvore.com.br,true
246,empresarial,942608,totallinks.com.br,https://totallinks.com.br,true
247,empresarial,419411,blogdovalente.com.br,https://blogdovalente.com.br,true
248,empresarial,515124,painelsite.com.br,https://painelsite.com.br,true
249,empresarial,773559,eadestudo.com.br,https://eadestudo.com.br,true
250,empresarial,478602,casadaarte.com.br,https://casadaarte.com.br,true
251,empresarial,589683,k13.com.br,https://k13.com.br,true
252,empresarial,770446,deline.com.br,https://deline.com.br,true
253,empresarial,822232,samello.com.br,https://samello.com.br,true
254,empresarial,653127,portinfo.com.br,https://portinfo.com.br,true
255,empresarial,775770,equiperf.app.br,https://equiperf.app.br,true
256,empresarial,798178,lojasantuarionacional.com.br,https://lojasantuarionacional.com.br,true
257,empresarial,705919,cadernointeligente.com.br,https://cadernointeligente.com.br,true
258,empresarial,69098,celcoin.com.br,https://celcoin.com.br,true
